Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeTuning,altitudeTuningSetpoint,xTrackError,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2025-01-29 14:08:35.017,0.1,-0.5,134,0.0,0.0,0.0,0.0,0.0,0.007,-0.0,0.0,532.4,-0.070,-0.070,0.000,0.0,00:00:00,0.0,0,--.--,--.--,--.--,0,0000:42:12,0,0,0,45.69,0.00,6384,38,52,--.--,--:--:--,1,0.00,14:08:34,29/01/2025,0.60,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,100.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,-16.6966635,-54.6723327,21KYB 48216 52551,0.5,0.1,90.0,3,28,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-24.1,-47.8,-6.4,0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,56.38,57.99,--.--,0,0,0.0,0.0,0.0,0,0,0,180.0,0.0,0.0
2025-01-29 14:08:35.875,0.1,-0.5,134,0.0,0.0,0.0,0.0,0.0,0.007,-0.0,-0.0,532.4,-0.080,-0.080,0.000,0.0,00:00:01,0.0,0,--.--,--.--,--.--,0,0000:42:12,0,0,0,45.69,0.00,6384,38,52,--.--,--:--:--,1,0.00,14:08:35,29/01/2025,0.60,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,100.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,-16.6966634,-54.6723328,21KYB 48216 52551,0.5,0.1,90.0,3,28,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-24.1,-47.8,-6.4,-0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,56.38,58.04,--.--,0,0,0.0,0.0,0.0,0,0,0,180.0,0.0,0.0
2025-01-29 14:08:36.879,0.1,-0.5,134,0.0,0.0,0.0,0.0,0.0,0.006,-0.0,-0.0,532.4,-0.080,-0.080,0.000,0.0,00:00:02,0.0,0,--.--,--.--,--.--,0,0000:42:12,0,0,0,45.69,0.00,6384,38,52,--.--,--:--:--,1,0.00,14:08:36,29/01/2025,0.55,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,100.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,-16.6966633,-54.6723328,21KYB 48216 52551,0.5,0.1,45.0,3,28,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-24.1,-47.8,-6.4,0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,56.39,58.02,--.--,0,0,0.0,0.0,0.0,0,0,0,180.0,0.0,0.0
2025-01-29 14:08:37.894,0.1,-0.5,134,0.0,0.0,0.0,0.0,0.0,0.007,-0.0,-0.0,532.4,-0.090,-0.090,0.000,0.0,00:00:03,0.0,0,--.--,--.--,--.--,0,0000:42:12,0,0,0,45.68,0.00,6384,38,52,--.--,--:--:--,1,0.00,14:08:37,29/01/2025,0.76,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,100.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,-16.6966632,-54.6723329,21KYB 48216 52551,0.5,0.1,0.0,3,28,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-24.1,-47.8,-6.4,0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,56.41,58.03,--.--,0,0,0.1,0.1,0.1,0,0,0,180.0,0.0,0.0
2025-01-29 14:08:38.894,0.1,-0.5,134,0.0,0.0,0.0,0.0,0.0,0.007,-0.0,-0.0,532.4,-0.100,-0.090,0.000,0.0,00:00:04,0.1,0,--.--,--.--,--.--,0,0000:42:12,0,0,0,45.68,0.00,6384,38,52,--.--,--:--:--,1,0.00,14:08:38,29/01/2025,0.81,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,100.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,-16.6966631,-54.6723330,21KYB 48216 52551,0.5,0.1,26.6,3,28,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-24.1,-47.8,-6.4,0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,56.40,58.02,--.--,0,0,0.1,0.1,0.1,0,0,0,180.0,0.0,0.0
2025-01-29 14:08:39.903,0.0,-0.5,134,0.0,0.0,0.0,0.0,0.0,0.034,-0.0,-0.0,532.4,-0.100,-0.100,0.000,0.0,00:00:05,0.1,0,--.--,--.--,--.--,0,0000:42:12,0,0,0,45.64,2.99,6384,38,52,--.--,--:--:--,1,136.46,14:08:39,29/01/2025,0.78,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,100.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,-16.6966630,-54.6723331,21KYB 48216 52551,0.5,0.1,0.0,3,28,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-24.1,-47.8,-6.4,-0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,56.40,58.05,--.--,0,0,2.3,2.1,1.4,0,0,0,180.0,0.0,0.0
2025-01-29 14:08:40.889,0.1,-0.5,134,0.0,0.0,0.0,0.0,0.0,0.037,-0.0,-0.0,532.4,-0.100,-0.100,0.000,0.0,00:00:06,0.1,0,--.--,--.--,--.--,0,0000:42:12,0,0,0,45.62,4.98,6385,38,52,--.--,--:--:--,1,227.17,14:08:40,29/01/2025,0.96,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,100.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,-16.6966630,-54.6723332,21KYB 48216 52551,0.5,0.1,26.6,3,28,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-24.0,-47.8,-6.4,0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,56.42,58.00,--.--,0,0,2.0,2.0,1.6,0,0,0,180.0,0.0,0.0
2025-01-29 14:08:41.895,0.2,-0.5,133,0.0,0.0,0.0,0.0,0.0,0.013,-0.0,-0.0,532.4,-0.100,-0.100,0.000,0.0,00:00:07,0.1,0,--.--,--.--,9.6,0,0000:42:12,0,0,0,45.62,4.98,6387,38,52,--.--,--:--:--,1,227.21,14:08:41,29/01/2025,0.83,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,100.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,-16.6966629,-54.6723333,21KYB 48216 52551,0.5,0.1,26.6,3,28,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-24.0,-47.8,-6.4,-0.0,-0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,56.42,58.00,--.--,0,0,1.1,2.3,1.3,0,0,0,180.0,0.0,0.0
2025-01-29 14:08:42.891,0.1,-0.5,134,0.0,0.0,0.0,0.0,0.0,0.019,-0.0,-0.0,532.4,-0.100,-0.100,0.000,0.0,00:00:08,0.1,0,--.--,--.--,8.8,0,0000:42:12,0,0,0,45.60,3.99,6388,38,52,--.--,--:--:--,1,181.96,14:08:42,29/01/2025,0.78,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,100.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,-16.6966628,-54.6723334,21KYB 48216 52551,0.5,0.1,45.0,3,28,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-24.0,-47.8,-6.4,0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,56.39,58.01,--.--,0,0,1.0,1.1,1.0,0,0,0,180.0,0.0,0.0
2025-01-29 14:08:43.897,0.2,-0.6,133,0.0,0.0,0.0,0.0,0.0,0.020,-0.0,-0.0,532.4,-0.100,-0.100,0.000,0.0,00:00:09,0.1,0,--.--,--.--,7.3,0,0000:42:12,0,0,0,45.60,4.98,6389,38,52,--.--,--:--:--,1,227.08,14:08:43,29/01/2025,0.81,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,100.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,-16.6966628,-54.6723335,21KYB 48216 52551,0.5,0.1,90.0,3,28,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-24.0,-47.8,-6.4,-0.0,0.0,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,56.41,58.00,--.--,0,0,1.1,2.1,1.5,0,0,0,180.0,0.0,0.0
